statefp,cd115fp,affgeoid,id,state,fr,abr,elu2016,elu,name,percent-dem,percent-rep
12,15,5001500US1215,1215,Florida,Floride,FL,R,,,,
12,16,5001500US1216,1216,Florida,Floride,FL,R,,,,
12,17,5001500US1217,1217,Florida,Floride,FL,R,,,,
12,18,5001500US1218,1218,Florida,Floride,FL,R,,,,
12,19,5001500US1219,1219,Florida,Floride,FL,R,,,,
12,2,5001500US1202,1202,Florida,Floride,FL,R,,,,
12,20,5001500US1220,1220,Florida,Floride,FL,D,,,,
12,21,5001500US1221,1221,Florida,Floride,FL,D,,,,
12,22,5001500US1222,1222,Florida,Floride,FL,D,,,,
12,23,5001500US1223,1223,Florida,Floride,FL,D,,,,
12,24,5001500US1224,1224,Florida,Floride,FL,D,,,,
12,25,5001500US1225,1225,Florida,Floride,FL,R,,,,
12,26,5001500US1226,1226,Florida,Floride,FL,R,,,,
12,27,5001500US1227,1227,Florida,Floride,FL,R,,,,
12,3,5001500US1203,1203,Florida,Floride,FL,R,,,,
12,4,5001500US1204,1204,Florida,Floride,FL,R,,,,
12,5,5001500US1205,1205,Florida,Floride,FL,D,,,,
12,6,5001500US1206,1206,Florida,Floride,FL,R,,,,
12,7,5001500US1207,1207,Florida,Floride,FL,D,,,,
12,8,5001500US1208,1208,Florida,Floride,FL,R,,,,
12,9,5001500US1209,1209,Florida,Floride,FL,D,,,,
13,1,5001500US1301,1301,Georgia,Géorgie,GA,R,,,,
13,10,5001500US1310,1310,Georgia,Géorgie,GA,R,,,,
13,11,5001500US1311,1311,Georgia,Géorgie,GA,R,,,,
13,12,5001500US1312,1312,Georgia,Géorgie,GA,R,,,,
13,13,5001500US1313,1313,Georgia,Géorgie,GA,D,,,,
13,14,5001500US1314,1314,Georgia,Géorgie,GA,R,,,,
13,2,5001500US1302,1302,Georgia,Géorgie,GA,D,,,,
13,3,5001500US1303,1303,Georgia,Géorgie,GA,R,,,,
13,4,5001500US1304,1304,Georgia,Géorgie,GA,D,,,,
13,5,5001500US1305,1305,Georgia,Géorgie,GA,D,,,,
13,6,5001500US1306,1306,Georgia,Géorgie,GA,R,,,,
13,7,5001500US1307,1307,Georgia,Géorgie,GA,R,,,,
13,8,5001500US1308,1308,Georgia,Géorgie,GA,R,,,,
13,9,5001500US1309,1309,Georgia,Géorgie,GA,R,,,,
15,1,5001500US1501,1501,Hawaii,Hawaii,HI,D,,,,
15,2,5001500US1502,1502,Hawaii,Hawaii,HI,D,,,,
16,1,5001500US1601,1601,Idaho,Idaho,ID,R,,,,
16,2,5001500US1602,1602,Idaho,Idaho,ID,R,,,,
17,1,5001500US1701,1701,Illinois,Illinois,IL,D,,,,
17,10,5001500US1710,1710,Illinois,Illinois,IL,D,,,,
17,11,5001500US1711,1711,Illinois,Illinois,IL,D,,,,
17,12,5001500US1712,1712,Illinois,Illinois,IL,R,,,,
17,13,5001500US1713,1713,Illinois,Illinois,IL,R,,,,
17,14,5001500US1714,1714,Illinois,Illinois,IL,R,,,,
17,15,5001500US1715,1715,Illinois,Illinois,IL,R,,,,
17,16,5001500US1716,1716,Illinois,Illinois,IL,R,,,,
17,17,5001500US1717,1717,Illinois,Illinois,IL,D,,,,
17,18,5001500US1718,1718,Illinois,Illinois,IL,R,,,,
17,2,5001500US1702,1702,Illinois,Illinois,IL,D,,,,
17,3,5001500US1703,1703,Illinois,Illinois,IL,D,,,,
17,4,5001500US1704,1704,Illinois,Illinois,IL,D,,,,
17,5,5001500US1705,1705,Illinois,Illinois,IL,D,,,,
17,6,5001500US1706,1706,Illinois,Illinois,IL,R,,,,
17,7,5001500US1707,1707,Illinois,Illinois,IL,D,,,,
17,8,5001500US1708,1708,Illinois,Illinois,IL,D,,,,
17,9,5001500US1709,1709,Illinois,Illinois,IL,D,,,,
18,1,5001500US1801,1801,Indiana,Indiana,IN,D,,,,
18,2,5001500US1802,1802,Indiana,Indiana,IN,R,,,,
18,3,5001500US1803,1803,Indiana,Indiana,IN,R,,,,
18,4,5001500US1804,1804,Indiana,Indiana,IN,R,,,,
18,5,5001500US1805,1805,Indiana,Indiana,IN,R,,,,
18,6,5001500US1806,1806,Indiana,Indiana,IN,R,,,,
18,7,5001500US1807,1807,Indiana,Indiana,IN,D,,,,
