temp;statefp;cd115fp;affgeoid;id;state;fr;abr;elu
Massachusetts-7;25;7;5001500US2507;2507;Massachusetts;Massachusetts;MA;D
Massachusetts-8;25;8;5001500US2508;2508;Massachusetts;Massachusetts;MA;D
Massachusetts-9;25;9;5001500US2509;2509;Massachusetts;Massachusetts;MA;D
Michigan-1;26;1;5001500US2601;2601;Michigan;Michigan;MI;R
Michigan-10;26;10;5001500US2610;2610;Michigan;Michigan;MI;R
Michigan-11;26;11;5001500US2611;2611;Michigan;Michigan;MI;R
Michigan-12;26;12;5001500US2612;2612;Michigan;Michigan;MI;D
Michigan-13;26;13;5001500US2613;2613;Michigan;Michigan;MI;D
Michigan-14;26;14;5001500US2614;2614;Michigan;Michigan;MI;D
Michigan-2;26;2;5001500US2602;2602;Michigan;Michigan;MI;R
Michigan-3;26;3;5001500US2603;2603;Michigan;Michigan;MI;R
Michigan-4;26;4;5001500US2604;2604;Michigan;Michigan;MI;R
Michigan-5;26;5;5001500US2605;2605;Michigan;Michigan;MI;D
Michigan-6;26;6;5001500US2606;2606;Michigan;Michigan;MI;R
Michigan-7;26;7;5001500US2607;2607;Michigan;Michigan;MI;R
Michigan-8;26;8;5001500US2608;2608;Michigan;Michigan;MI;R
Michigan-9;26;9;5001500US2609;2609;Michigan;Michigan;MI;D
Minnesota-1;27;1;5001500US2701;2701;Minnesota;Minnesota;MN;D
Minnesota-2;27;2;5001500US2702;2702;Minnesota;Minnesota;MN;R
Minnesota-3;27;3;5001500US2703;2703;Minnesota;Minnesota;MN;R
Minnesota-4;27;4;5001500US2704;2704;Minnesota;Minnesota;MN;D
Minnesota-5;27;5;5001500US2705;2705;Minnesota;Minnesota;MN;D
Minnesota-6;27;6;5001500US2706;2706;Minnesota;Minnesota;MN;R
Minnesota-7;27;7;5001500US2707;2707;Minnesota;Minnesota;MN;D
Minnesota-8;27;8;5001500US2708;2708;Minnesota;Minnesota;MN;D
Mississippi-1;28;1;5001500US2801;2801;Mississippi;Mississippi;MS;R
Mississippi-2;28;2;5001500US2802;2802;Mississippi;Mississippi;MS;D
Mississippi-3;28;3;5001500US2803;2803;Mississippi;Mississippi;MS;R
Mississippi-4;28;4;5001500US2804;2804;Mississippi;Mississippi;MS;R
Missouri-1;29;1;5001500US2901;2901;Missouri;Missouri;MO;D
Missouri-2;29;2;5001500US2902;2902;Missouri;Missouri;MO;R
Missouri-3;29;3;5001500US2903;2903;Missouri;Missouri;MO;R
Missouri-4;29;4;5001500US2904;2904;Missouri;Missouri;MO;R
Missouri-5;29;5;5001500US2905;2905;Missouri;Missouri;MO;D
Missouri-6;29;6;5001500US2906;2906;Missouri;Missouri;MO;R
Missouri-7;29;7;5001500US2907;2907;Missouri;Missouri;MO;R
Missouri-8;29;8;5001500US2908;2908;Missouri;Missouri;MO;R
Montana-0;30;0;5001500US3000;3000;Montana;Montana;MT;R
Nebraska-1;31;1;5001500US3101;3101;Nebraska;Nebraska;NE;R
Nebraska-2;31;2;5001500US3102;3102;Nebraska;Nebraska;NE;R
Nebraska-3;31;3;5001500US3103;3103;Nebraska;Nebraska;NE;R
Nevada-1;32;1;5001500US3201;3201;Nevada;Nevada;NV;D
Nevada-2;32;2;5001500US3202;3202;Nevada;Nevada;NV;R
Nevada-3;32;3;5001500US3203;3203;Nevada;Nevada;NV;D
Nevada-4;32;4;5001500US3204;3204;Nevada;Nevada;NV;D
New Hampshire-1;33;1;5001500US3301;3301;New Hampshire;New Hampshire;NH;D
New Hampshire-2;33;2;5001500US3302;3302;New Hampshire;New Hampshire;NH;D
New Jersey-1;34;1;5001500US3401;3401;New Jersey;New Jersey;NJ;D
New Jersey-10;34;10;5001500US3410;3410;New Jersey;New Jersey;NJ;D
New Jersey-11;34;11;5001500US3411;3411;New Jersey;New Jersey;NJ;R
New Jersey-12;34;12;5001500US3412;3412;New Jersey;New Jersey;NJ;D
New Jersey-2;34;2;5001500US3402;3402;New Jersey;New Jersey;NJ;R
New Jersey-3;34;3;5001500US3403;3403;New Jersey;New Jersey;NJ;R
New Jersey-4;34;4;5001500US3404;3404;New Jersey;New Jersey;NJ;R
New Jersey-5;34;5;5001500US3405;3405;New Jersey;New Jersey;NJ;D
New Jersey-6;34;6;5001500US3406;3406;New Jersey;New Jersey;NJ;D
New Jersey-7;34;7;5001500US3407;3407;New Jersey;New Jersey;NJ;R
New Jersey-8;34;8;5001500US3408;3408;New Jersey;New Jersey;NJ;D
New Jersey-9;34;9;5001500US3409;3409;New Jersey;New Jersey;NJ;D
New Mexico-1;35;1;5001500US3501;3501;New Mexico;Nouveau Mexique;NM;D
