temp;statefp;cd115fp;affgeoid;id;state;fr;abr;elu
Texas-32;48;32;5001500US4832;4832;Texas;Texas;TX;R
Texas-33;48;33;5001500US4833;4833;Texas;Texas;TX;D
Texas-34;48;34;5001500US4834;4834;Texas;Texas;TX;D
Texas-35;48;35;5001500US4835;4835;Texas;Texas;TX;D
Texas-36;48;36;5001500US4836;4836;Texas;Texas;TX;R
Texas-4;48;4;5001500US4804;4804;Texas;Texas;TX;R
Texas-5;48;5;5001500US4805;4805;Texas;Texas;TX;R
Texas-6;48;6;5001500US4806;4806;Texas;Texas;TX;R
Texas-7;48;7;5001500US4807;4807;Texas;Texas;TX;R
Texas-8;48;8;5001500US4808;4808;Texas;Texas;TX;R
Texas-9;48;9;5001500US4809;4809;Texas;Texas;TX;D
Utah-1;49;1;5001500US4901;4901;Utah;Utah;UT;R
Utah-2;49;2;5001500US4902;4902;Utah;Utah;UT;R
Utah-3;49;3;5001500US4903;4903;Utah;Utah;UT;R
Utah-4;49;4;5001500US4904;4904;Utah;Utah;UT;R
Vermont-0;50;0;5001500US5000;5000;Vermont;Vermont;VT;D
Virginia-1;51;1;5001500US5101;5101;Virginia;Virginie;VA;R
Virginia-10;51;10;5001500US5110;5110;Virginia;Virginie;VA;R
Virginia-11;51;11;5001500US5111;5111;Virginia;Virginie;VA;D
Virginia-2;51;2;5001500US5102;5102;Virginia;Virginie;VA;R
Virginia-3;51;3;5001500US5103;5103;Virginia;Virginie;VA;D
Virginia-4;51;4;5001500US5104;5104;Virginia;Virginie;VA;D
Virginia-5;51;5;5001500US5105;5105;Virginia;Virginie;VA;R
Virginia-6;51;6;5001500US5106;5106;Virginia;Virginie;VA;R
Virginia-7;51;7;5001500US5107;5107;Virginia;Virginie;VA;R
Virginia-8;51;8;5001500US5108;5108;Virginia;Virginie;VA;D
Virginia-9;51;9;5001500US5109;5109;Virginia;Virginie;VA;R
Washington-1;53;1;5001500US5301;5301;Washington;Washington;WA;D
Washington-10;53;10;5001500US5310;5310;Washington;Washington;WA;D
Washington-2;53;2;5001500US5302;5302;Washington;Washington;WA;D
Washington-3;53;3;5001500US5303;5303;Washington;Washington;WA;R
Washington-4;53;4;5001500US5304;5304;Washington;Washington;WA;R
Washington-5;53;5;5001500US5305;5305;Washington;Washington;WA;R
Washington-6;53;6;5001500US5306;5306;Washington;Washington;WA;D
Washington-7;53;7;5001500US5307;5307;Washington;Washington;WA;D
Washington-8;53;8;5001500US5308;5308;Washington;Washington;WA;R
Washington-9;53;9;5001500US5309;5309;Washington;Washington;WA;D
West Virginia-1;54;1;5001500US5401;5401;West Virginia;Virginie-Occidentale;WV;R
West Virginia-2;54;2;5001500US5402;5402;West Virginia;Virginie-Occidentale;WV;R
West Virginia-3;54;3;5001500US5403;5403;West Virginia;Virginie-Occidentale;WV;R
Wisconsin-1;55;1;5001500US5501;5501;Wisconsin;Wisconsin;WI;R
Wisconsin-2;55;2;5001500US5502;5502;Wisconsin;Wisconsin;WI;D
Wisconsin-3;55;3;5001500US5503;5503;Wisconsin;Wisconsin;WI;D
Wisconsin-4;55;4;5001500US5504;5504;Wisconsin;Wisconsin;WI;D
Wisconsin-5;55;5;5001500US5505;5505;Wisconsin;Wisconsin;WI;R
Wisconsin-6;55;6;5001500US5506;5506;Wisconsin;Wisconsin;WI;R
Wisconsin-7;55;7;5001500US5507;5507;Wisconsin;Wisconsin;WI;R
Wisconsin-8;55;8;5001500US5508;5508;Wisconsin;Wisconsin;WI;R
Wyoming-0;56;0;5001500US5600;5600;Wyoming;Wyoming;WY;R
