state,etats,abrv,vote,elu,name,percent_dem,percent_rep
Alabama,Alabama,AL,non,non,,,
Alaska,Alaska,AK,non,non,,,
Arizona,Arizona,AZ,oui,,,,
Arkansas,Arkansas,AR,non,non,,,
California,Californie,CA,oui,D,Dianne Feinstein,,
Colorado,Colorado,CO,non,non,,,
Connecticut,Connecticut,CT,oui,D,Christopher S. Murphy,,
Delaware,Delaware,DE,oui,D,Thomas R. Carper,,
District of Columbia,Washington D.C.,DC,oui,D,Michael D. Brown,,
Florida,Floride,FL,oui,,,,
Georgia,Géorgie,GA,non,non,,,
Hawaii,Hawaï,HI,oui,D,Mazie Hirono,,
Idaho,Idaho,ID,non,non,,,
Illinois,Illinois,IL,non,non,,,
Indiana,Indiana,IN,oui,RR,Mike Braun,,
Iowa,Iowa,IA,non,non,,,
Kansas,Kansas,KS,non,non,,,
Kentucky,Kentucky,KY,non,non,,,
Louisiana,Louisiane,LA,non,non,,,
Maine,Maine,ME,oui,IND,Angus King,,
Maryland,Maryland,MD,oui,D,Ben Cardin,,
Massachusetts,Massachusetts,MA,oui,D,Elizabeth Warren,,
Michigan,Michigan,MI,oui,D,Debbie Stabenow,,
Minnesota,Minnesota,MN,oui,D,Amy Klobuchar,,
Mississippi,Mississippi,MS,oui,R,Roger Wicker,,
Missouri,Missouri,MO,oui,RR,Josh Hawley,,
Montana,Montana,MT,oui,,,,
Nebraska,Nebraska,NE,oui,R,Deb Fischer,,
Nevada,Nevada,NV,oui,DD,Jacky Rosen,,
New Hampshire,New Hampshire,NH,non,non,,,
New Jersey,New Jersey,NJ,oui,D,Robert Menendez,,
New Mexico,Nouveau-Mexique,NM,oui,D,Martin Heinrich,,
New York,New York,NY,oui,D,Kirsten Gillibrand,,
North Carolina,Caroline du Nord,NC,non,non,,,
North Dakota,Dakota du Nord,ND,oui,RR,Kevin Cramer,,
Ohio,Ohio,OH,oui,D,Sherrod Brown,,
Oklahoma,Oklahoma,OK,non,non,,,
Oregon,Oregon,OR,non,non,,,
Pennsylvania,Pennsylvanie,PA,oui,D,Bob Casey,,
Rhode Island,Rhode Island,RI,oui,D,Sheldon Whitehouse,,
South Carolina,Caroline du Sud,SC,non,non,,,
South Dakota,Dakota du Sud,SD,non,non,,,
Tennessee,Tennessee,TN,oui,R,Marsha Blackburn,,
Texas,Texas,TX,oui,R,Ted Cruz,,
Utah,Utah,UT,oui,R,Mitt Romney,,
Vermont,Vermont,VT,oui,IND,Bernie Sanders,,
Virginia,Virginie,VA,oui,D,Tim Kaine,,
Washington,Washington,WA,oui,D,Maria Cantwell,,
West Virginia,Virginie-occidentale,WV,oui,D,Joe Manchin,,
Wisconsin,Wisconsin,WI,oui,D,Tammy Baldwin,,
Wyoming,Wyoming,WY,oui,R,John Barrasso,,
