statefp,cd115fp,affgeoid,id,state,fr,abr,NYT,elu,name,percent_dem,percent_rep
27,2,5001500US2702,2702,Minnesota,Minnesota,MN,Minn. 2,,,,
27,3,5001500US2703,2703,Minnesota,Minnesota,MN,Minn. 3,DD,,,
27,4,5001500US2704,2704,Minnesota,Minnesota,MN,Minn. 4,D,,,
27,5,5001500US2705,2705,Minnesota,Minnesota,MN,Minn. 5,,,,
27,6,5001500US2706,2706,Minnesota,Minnesota,MN,Minn. 6,R,,,
27,7,5001500US2707,2707,Minnesota,Minnesota,MN,Minn. 7,D,,,
27,8,5001500US2708,2708,Minnesota,Minnesota,MN,Minn. 8,,,,
28,1,5001500US2801,2801,Mississippi,Mississippi,MS,Miss. 1,R,,,
28,2,5001500US2802,2802,Mississippi,Mississippi,MS,Miss. 2,D,,,
28,3,5001500US2803,2803,Mississippi,Mississippi,MS,Miss. 3,,,,
28,4,5001500US2804,2804,Mississippi,Mississippi,MS,Miss. 4,R,,,
29,1,5001500US2901,2901,Missouri,Missouri,MO,Mo. 1,D,,,
29,2,5001500US2902,2902,Missouri,Missouri,MO,Mo. 2,R,,,
29,3,5001500US2903,2903,Missouri,Missouri,MO,Mo. 3,R,,,
29,4,5001500US2904,2904,Missouri,Missouri,MO,Mo. 4,R,,,
29,5,5001500US2905,2905,Missouri,Missouri,MO,Mo. 5,D,,,
29,6,5001500US2906,2906,Missouri,Missouri,MO,Mo. 6,R,,,
29,7,5001500US2907,2907,Missouri,Missouri,MO,Mo. 7,R,,,
29,8,5001500US2908,2908,Missouri,Missouri,MO,Mo. 8,R,,,
30,0,5001500US3000,3000,Montana,Montana,MT,Mont.,,,,
37,1,5001500US3701,3701,North Carolina,Caroline du Nord,NC,N.C. 1,D,,,
37,10,5001500US3710,3710,North Carolina,Caroline du Nord,NC,N.C. 10,R,,,
37,11,5001500US3711,3711,North Carolina,Caroline du Nord,NC,N.C. 11,R,,,
37,12,5001500US3712,3712,North Carolina,Caroline du Nord,NC,N.C. 12,D,,,
37,13,5001500US3713,3713,North Carolina,Caroline du Nord,NC,N.C. 13,R,,,
37,2,5001500US3702,3702,North Carolina,Caroline du Nord,NC,N.C. 2,R,,,
37,3,5001500US3703,3703,North Carolina,Caroline du Nord,NC,N.C. 3,R,,,
37,4,5001500US3704,3704,North Carolina,Caroline du Nord,NC,N.C. 4,D,,,
37,5,5001500US3705,3705,North Carolina,Caroline du Nord,NC,N.C. 5,R,,,
37,6,5001500US3706,3706,North Carolina,Caroline du Nord,NC,N.C. 6,R,,,
37,7,5001500US3707,3707,North Carolina,Caroline du Nord,NC,N.C. 7,R,,,
37,8,5001500US3708,3708,North Carolina,Caroline du Nord,NC,N.C. 8,R,,,
