title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier_scrutin_presence,premier_scrutin_vote,septembre,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
Mme,Fiona Lazaar,Pas de réponse.,omc_pa720916,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720916.jpg,La République en marche,,,LREM,,Val-d'Oise,5e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Florence Granjus,"""J'étais absente dans l'Hémicycle lors du vote le 28 mai et le 14 septembre pour des raisons personnelles.""",omc_pa722062,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722062.jpg,La République en marche,,,LREM,,Yvelines,12e,,,Absent(e),Absent(e),,Absent(e),,,Contre
Mme,Florence Lasserre-David,Pas de réponse.,omc_pa720764,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720764.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Pyrénées-Atlantiques,5e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Florence Provendier,Pas de réponse.,omc_pa722194,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722194.jpg,La République en marche,Gabriel Attal,,LREM,,Hauts-de-Seine,10e,SIGNATAIRE,SIGNATAIRE,Non élu(e),Non élu(e),Non élu(e),Non élu(e),Non élu(e),Non élu(e)
M.,Florent Boudié,"""Je n'étais pas présent à Paris au moment du vote. Pour votre information, car il n'est pas exclu d'avoir une vue d'ensemble, en tant que responsable du projet de loi dit Asile et immigration dont le texte entrait au Sénat la semaine suivante après son adoption par l'Assemblée, je venais de passer 6 mois à Paris du dimanche soir au vendredi soir, quasiment chaque semaine. J'ai donc profité de la fin de l'examen du texte par l'Assemblée pour remettre en ordre les dossiers en circonscription.""",omc_pa606507,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606507.jpg,La République en marche,,,LREM,,Gironde,10e,,,Absent(e),Absent(e),,Absent(e),,,Pour
M.,Florian Bachelier,Pas de réponse.,omc_pa719770,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719770.jpg,La République en marche,,,LREM,,Ille-et-Vilaine,8e,,,Contre,Présent,Contre,Contre,PRESENT,CONTRE,Pas de réponse
M.,Francis Chouat,Pas de réponse.,omc_pa760658,http://www2.assemblee-nationale.fr/static/tribun/15/photos/760658.jpg,La République en marche,Manuel Valls,,LREM,Apparenté au,Essonne,1ère,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Francis Vercamer,Pas de réponse.,omc_pa267585,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267585.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Nord,7e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Franck Marlin,Pas de réponse.,omc_pa2086,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2086.jpg,Les Républicains,,,LR,,Essonne,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,François André,Pas de réponse.,omc_pa606675,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606675.jpg,La République en marche,,,LREM,Apparenté au,Ille-et-Vilaine,3e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,François Cormier-Bouligeon,Pas de réponse.,omc_pa719118,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719118.jpg,La République en marche,,,LREM,,Cher,1ère,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,François Cornut-Gentille,Pas de réponse.,omc_pa923,http://www2.assemblee-nationale.fr/static/tribun/15/photos/923.jpg,Les Républicains,,,LR,,Haute-Marne,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,François Jolivet,Pas de réponse.,omc_pa719778,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719778.jpg,La République en marche,,,LREM,,Indre,1ère,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,François Pupponi,Pas de réponse.,omc_pa405480,http://www2.assemblee-nationale.fr/static/tribun/15/photos/405480.jpg,Libertés et Territoires,,,NOUVELLE GAUCHE,,Val-d'Oise,8e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,François Ruffin,"""Après dix jours de débats en Hémicycle, de 9 heures le matin jusqu'à parfois tard dans la nuit, il était effectivement prévu que l'amendement ne passe pas cette nuit-là mais le lendemain matin.""",omc_pa722142,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722142.jpg,La France insoumise,,,LFI,,Somme,1ère,,,Absent(e),Absent(e),,Pour,PRESENT,POUR,Pour
M.,François-Michel Lambert,"""Signataire de l'amendement pour l'interdiction, je fus malheureusement malade ce soir-là, j'ai ensuite redéposé le 15 septembre un amendement pour l'interdiction du glyphosate.""",omc_pa605518,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605518.jpg,Libertés et Territoires,,,LREM,,Bouches-du-Rhône,10e,,SIGNATAIRE,Absent(e),Absent(e),,Pour,PRESENT,POUR,Pour
Mme,Françoise Dumas,Pas de réponse.,omc_pa606202,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606202.jpg,La République en marche,,,LREM,,Gard,1ère,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
