title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier_scrutin_presence,premier_scrutin_vote,septembre,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
M.,Didier Paris,Ne veut pas répondre,omc_pa719202,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719202.jpg,La République en Marche,,,LREM,,Côte-d'Or,5.0,,,Absent,Absent,,Absent,,,Contre
M.,Dominique Da Silva,Ne veut pas répondre,omc_pa720932,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720932.jpg,La République en Marche,,,LREM,,Val-d'Oise,7.0,,,Absent,Absent,,Absent,,,Contre
M.,Dominique Potier,Ne veut pas répondre,omc_pa607553,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607553.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Meurthe-et-Moselle,5.0,,,Absent,Absent,,Absent,,,Contre
Mme,Émilie Bonnivard,Ne veut pas répondre,omc_pa721410,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721410.jpg,Les Républicains,,,LR,,Savoie,3.0,,,Absent,Absent,,Absent,,,Contre
M.,Éric Poulliat,Ne veut pas répondre,omc_pa719600,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719600.jpg,La République en Marche,,,LREM,,Gironde,6.0,,,Absent,Absent,,Absent,,,Pour
M.,Fabien Roussel,Ne veut pas répondre,omc_pa720692,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720692.jpg,Gauche démocrate et républicaine,,,PCF,,Nord,20.0,,,Absent,Absent,,Absent,,,Pour
M.,Jacques Krabal,Ne veut pas répondre,omc_pa605084,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605084.jpg,La République en Marche,,,LREM,,Aisne,5.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Jean-Baptiste Moreau,Ne veut pas répondre,omc_pa719242,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719242.jpg,La République en Marche,,,LREM,,Creuse,1.0,,,Contre,Présent,Contre,Contre,PRESENT,CONTRE,Ne veut pas répondre
M.,Jean-Pierre Pont,Ne veut pas répondre,omc_pa2449,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2449.jpg,La République en Marche,,,LREM,,Pas-de-Calais,5.0,,,Absent,Absent,,Absent,,,Ne veut pas répondre
Mme,Jennifer De Temmerman,Ne veut pas répondre,omc_pa720538,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720538.jpg,La République en Marche,,,LREM,,Nord,15.0,,SIGNATAIRE,Pour,Présent,Pour,Absent,,,Ne veut pas répondre
M.,Loïc Dombreval,Ne veut pas répondre,omc_pa718894,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718894.jpg,La République en Marche,,,LREM,,Alpes-Maritimes,2.0,SIGNATAIRE,SIGNATAIRE,Absent,Absent,,Absent,,,Contre
Mme,Marie-Christine Verdier-Jouclas,Ne veut pas répondre,omc_pa721542,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721542.jpg,La République en Marche,,,LREM,,Tarn,2.0,,,Contre,Présent,Contre,Contre,PRESENT,CONTRE,Contre
Mme,Martine Leguille-Balloy,Ne veut pas répondre,omc_pa722008,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722008.jpg,La République en Marche,,,LREM,,Vendée,4.0,,,Absent,Absent,,Contre,PRESENT,CONTRE,Contre
Mme,Nathalie Sarles,Ne veut pas répondre,omc_pa719972,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719972.jpg,La République en Marche,,,LREM,,Loire,5.0,SIGNATAIRE,SIGNATAIRE,Pour,Présent,Pour,Absent,,,Ne veut pas répondre
M.,Nicolas Dupont-Aignan,Ne veut pas répondre,omc_pa1206,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1206.jpg,Non inscrit,,,NI,Debout la France,Essonne,8.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Philippe Vigier,Ne veut pas répondre,omc_pa331582,http://www2.assemblee-nationale.fr/static/tribun/15/photos/331582.jpg,Libertés et Territoires,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Eure-et-Loir,4.0,,,Contre,Présent,Contre,Absent,,,Contre
Mme,Sereine Mauborgne,Ne veut pas répondre,omc_pa721726,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721726.jpg,La République en Marche,,,LREM,,Var,4.0,SIGNATAIRE,SIGNATAIRE,Pour,Présent,Pour,Absent,,,Contre
M.,Thomas Rudigoz,Ne veut pas répondre,omc_pa722292,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722292.jpg,La République en Marche,,,LREM,,Rhône,1.0,,,Absent,Absent,,Absent,,,Ne veut pas répondre
Mme,Valéria Faure-Muntian,Ne veut pas répondre,omc_pa719960,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719960.jpg,La République en Marche,,,LREM,,Loire,3.0,,,Contre,Présent,Contre,Absent,,,Ne veut pas répondre
M.,Yves Blein,Ne veut pas répondre,omc_pa608641,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608641.jpg,La République en Marche,,,LREM,,Rhône,14.0,,,Absent,Absent,,Absent,,,Contre
