title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier_scrutin_presence,premier_scrutin_vote,septembre,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
M.,Alain David,Pas de réponse.,omc_pa1008,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1008.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Gironde,4.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Alain Perea,Pas de réponse.,omc_pa718802,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718802.jpg,La République en Marche,,,LREM,,Aude,2.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Alain Ramadier,Pas de réponse.,omc_pa721286,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721286.jpg,Les Républicains,,,LR,,Seine-Saint-Denis,10.0,,,Absent,Absent,,Contre,PRESENT,CONTRE,Pas de réponse
M.,Alain Tourret,Pas de réponse.,omc_pa2828,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2828.jpg,La République en Marche,,,LREM,,Calvados,6.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Albane Gaillot,Pas de réponse.,omc_pa721246,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721246.jpg,La République en Marche,,,LREM,,Val-de-Marne,11.0,,,Absent,Absent,,Abstention,PRESENT,ABSTENTION,Pas de réponse
Mme,Alexandra Louis,Pas de réponse.,omc_pa718918,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718918.jpg,La République en Marche,,,LREM,,Bouches-du-Rhône,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Alexandra Valetta Ardisson,Pas de réponse.,omc_pa718768,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718768.jpg,La République en Marche,,,LREM,,Alpes-Maritimes,4.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Alexandre Holroyd,Pas de réponse.,omc_pa721150,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721150.jpg,La République en Marche,,,LREM,,Français établis hors de France,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Amélia Lakrafi,Pas de réponse.,omc_pa721004,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721004.jpg,La République en Marche,,,LREM,,Français établis hors de France,10.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Amélie de Montchalin,Pas de réponse.,omc_pa721670,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721670.jpg,La République en Marche,,,LREM,,Essonne,6.0,,,Absent,Absent,,Contre,PRESENT,CONTRE,Pas de réponse
Mme,Anissa Khedher,Pas de réponse.,omc_pa722300,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722300.jpg,La République en Marche,,,LREM,,Rhône,7.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Annaïg Le Meur,Pas de réponse.,omc_pa719388,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719388.jpg,La République en Marche,,,LREM,,Finistère,1.0,SIGNATAIRE,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Anne Blanc,Pas de réponse.,omc_pa718990,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718990.jpg,La République en Marche,,,LREM,,Aveyron,2.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Anne Brugnera,Pas de réponse.,omc_pa721328,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721328.jpg,La République en Marche,,,LREM,,Rhône,4.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Anne Genetet,Pas de réponse.,omc_pa721024,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721024.jpg,La République en Marche,,,LREM,,Français établis hors de France,11.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Anne-Christine Lang,Pas de réponse.,omc_pa643205,http://www2.assemblee-nationale.fr/static/tribun/15/photos/643205.jpg,La République en Marche,,,LREM,,Paris,10.0,,,Contre,Présent,Contre,Absent,,,Pas de réponse
Mme,Anne-France Brunet,Pas de réponse.,omc_pa720116,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720116.jpg,La République en Marche,,,LREM,,Loire-Atlantique,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Anne-Laure Cattelot,Pas de réponse.,omc_pa720520,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720520.jpg,La République en Marche,,,LREM,,Nord,12.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Annie Chapelier,Pas de réponse.,omc_pa719448,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719448.jpg,La République en Marche,,,LREM,,Gard,4.0,SIGNATAIRE,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Annie Genevard,Pas de réponse.,omc_pa605991,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605991.jpg,Les Républicains,,,LR,,Doubs,5.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Annie Vidal,Pas de réponse.,omc_pa722102,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722102.jpg,La République en Marche,,,LREM,,Seine-Maritime,2.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Anthony Cellier,Pas de réponse.,omc_pa719440,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719440.jpg,La République en Marche,,,LREM,,Gard,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Antoine Herth,Pas de réponse.,omc_pa267355,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267355.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Bas-Rhin,5.0,,,Contre,Présent,Contre,Absent,,,Pas de réponse
M.,Antoine Savignat,Pas de réponse.,omc_pa748954,http://www2.assemblee-nationale.fr/static/tribun/15/photos/748954.jpg,Les Républicains,,,LR,,Val-d'Oise,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Arnaud Viala,Pas de réponse.,omc_pa709315,http://www2.assemblee-nationale.fr/static/tribun/15/photos/709315.jpg,Les Républicains,,,LR,,Aveyron,3.0,,,Contre,Présent,Contre,Absent,,,Pas de réponse
Mme,Aude Amadou,Pas de réponse.,omc_pa720124,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720124.jpg,La République en Marche,,,LREM,,Loire-Atlantique,4.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Aude Bono-Vandorme,Pas de réponse.,omc_pa718756,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718756.jpg,La République en Marche,,,LREM,,Aisne,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Aude Luquet,Pas de réponse.,omc_pa721530,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721530.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Seine-et-Marne,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Audrey Dufeu Schubert,Pas de réponse.,omc_pa720046,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720046.jpg,La République en Marche,,,LREM,,Loire-Atlantique,8.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Aurélien Pradié,Pas de réponse.,omc_pa720100,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720100.jpg,Les Républicains,,,LR,,Lot,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Aurélien Taché,Pas de réponse.,omc_pa720952,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720952.jpg,La République en Marche,,,LREM,,Val-d'Oise,10.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Barbara Pompili,Pas de réponse.,omc_pa609520,http://www2.assemblee-nationale.fr/static/tribun/15/photos/609520.jpg,La République en Marche,,,LREM,,Somme,2.0,SIGNATAIRE,SIGNATAIRE,Pour,Présent,Pour,Pour,PRESENT,POUR,Pas de réponse
Mme,Béatrice Piron,Pas de réponse.,omc_pa721844,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721844.jpg,La République en Marche,,,LREM,,Yvelines,3.0,,,Absent,Absent,,Contre,PRESENT,CONTRE,Pas de réponse
M.,Belkhir Belhaddad,Pas de réponse.,omc_pa720362,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720362.jpg,La République en Marche,,,LREM,,Moselle,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Bénédicte Peyrol,Pas de réponse.,omc_pa718736,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718736.jpg,La République en Marche,,,LREM,,Allier,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Bénédicte Taurine,Pas de réponse.,omc_pa718860,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718860.jpg,La France insoumise,,,LFI,,Ariège,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Benjamin Dirx,Pas de réponse.,omc_pa722382,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722382.jpg,La République en Marche,,,LREM,,Saône-et-Loire,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Benoit Potterie,Pas de réponse.,omc_pa720590,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720590.jpg,La République en Marche,,,LREM,,Pas-de-Calais,8.0,,,Contre,Présent,Contre,Absent,,,Pas de réponse
M.,Benoit Simian,Pas de réponse.,omc_pa719592,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719592.jpg,La République en Marche,,,LREM,,Gironde,5.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Bérangère Abba,Pas de réponse.,omc_pa720242,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720242.jpg,La République en Marche,,,LREM,,Haute-Marne,1.0,SIGNATAIRE,SIGNATAIRE,Absent,Absent,,Contre,PRESENT,CONTRE,Pas de réponse
Mme,Bérengère Poletti,Pas de réponse.,omc_pa267260,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267260.jpg,Les Républicains,,,LR,,Ardennes,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Bernard Brochand,Pas de réponse.,omc_pa223837,http://www2.assemblee-nationale.fr/static/tribun/15/photos/223837.jpg,Les Républicains,,,LR,,Alpes-Maritimes,8.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Bernard Deflesselles,Pas de réponse.,omc_pa1029,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1029.jpg,Les Républicains,,,LR,,Bouches-du-Rhône,9.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Bernard Perrut,Pas de réponse.,omc_pa2377,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2377.jpg,Les Républicains,,,LR,,Rhône,9.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Bernard Reynès,Pas de réponse.,omc_pa330788,http://www2.assemblee-nationale.fr/static/tribun/15/photos/330788.jpg,Les Républicains,,,LR,,Bouches-du-Rhône,15.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Bertrand Bouyx,Pas de réponse.,omc_pa719032,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719032.jpg,La République en Marche,,,LREM,,Calvados,5.0,,,Contre,Présent,Contre,Absent,,,Pas de réponse
M.,Bertrand Sorre,Pas de réponse.,omc_pa720190,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720190.jpg,La République en Marche,,,LREM,,Manche,2.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Blandine Brocard,Pas de réponse.,omc_pa721336,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721336.jpg,La République en Marche,,,LREM,,Rhône,5.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Brigitte Bourguignon,Pas de réponse.,omc_pa608083,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608083.jpg,La République en Marche,,,LREM,,Pas-de-Calais,6.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Bruno Bilde,Pas de réponse.,omc_pa720822,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720822.jpg,Non inscrit,,,NI (RN),,Pas-de-Calais,12.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Bruno Duvergé,Pas de réponse.,omc_pa720652,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720652.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Pas-de-Calais,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Bruno Fuchs,Pas de réponse.,omc_pa722284,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722284.jpg,Mouvement Démocrate et apparentés,,,MODEM ,Apparenté au,Haut-Rhin,6.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Bruno Millienne,Pas de réponse.,omc_pa721976,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721976.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Yvelines,9.0,,,Absent,Absent,,Contre,PRESENT,CONTRE,Pas de réponse
M.,Bruno Studer,Pas de réponse.,omc_pa720754,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720754.jpg,La République en Marche,,,LREM,,Bas-Rhin,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Carole Bureau-Bonnard,Pas de réponse.,omc_pa720622,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720622.jpg,La République en Marche,,,LREM,,Oise,6.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Carole Grandjean,Pas de réponse.,omc_pa720170,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720170.jpg,La République en Marche,,,LREM,,Meurthe-et-Moselle,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Caroline Abadie,Pas de réponse.,omc_pa719866,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719866.jpg,La République en Marche,,,LREM,,Isère,8.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Caroline Fiat,Pas de réponse.,omc_pa720286,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720286.jpg,La France insoumise,,,LFI,,Meurthe-et-Moselle,6.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Caroline Janvier,Pas de réponse.,omc_pa720074,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720074.jpg,La République en Marche,,,LREM,,Loiret,2.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Catherine Fabre,Pas de réponse.,omc_pa719570,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719570.jpg,La République en Marche,,,LREM,,Gironde,2.0,SIGNATAIRE,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Catherine Kamowski,Pas de réponse.,omc_pa719994,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719994.jpg,La République en Marche,,,LREM,,Isère,5.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Catherine Osson,Pas de réponse.,omc_pa720492,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720492.jpg,La République en Marche,,,LREM,,Nord,8.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Cathy Racon-Bouzon,Pas de réponse.,omc_pa718944,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718944.jpg,La République en Marche,,,LREM,,Bouches-du-Rhône,5.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Cécile Muschotti,Pas de réponse.,omc_pa721656,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721656.jpg,La République en Marche,,,LREM,,Var,2.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Cédric Roussel,Pas de réponse.,omc_pa718902,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718902.jpg,La République en Marche,,,LREM,,Alpes-Maritimes,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Célia de Lavergne,Pas de réponse.,omc_pa719310,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719310.jpg,La République en Marche,,,LREM,,Drôme,3.0,,,Absent,Absent,,Contre,PRESENT,CONTRE,Pas de réponse
Mme,Céline Calvez,Pas de réponse.,omc_pa721750,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721750.jpg,La République en Marche,,,LREM,,Hauts-de-Seine,5.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Charles de la Verpillière,Pas de réponse.,omc_pa1012,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1012.jpg,Les Républicains,,,LR,,Ain,2.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Charlotte Lecocq,Pas de réponse.,omc_pa720480,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720480.jpg,La République en Marche,,,LREM,,Nord,6.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Christian Hutin,Pas de réponse.,omc_pa333818,http://www2.assemblee-nationale.fr/static/tribun/15/photos/333818.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,Apparenté au,Nord,13.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Christian Jacob,Pas de réponse.,omc_pa1695,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1695.jpg,Les Républicains,,Président,LR,,Seine-et-Marne,4.0,,,Contre,Présent,Contre,Absent,,,Pas de réponse
Mme,Christine Hennion,Pas de réponse.,omc_pa722094,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722094.jpg,La République en Marche,,,LREM,,Hauts-de-Seine,3.0,SIGNATAIRE,,Contre,Présent,Contre,Absent,,,Pas de réponse
M.,Christophe Arend,Pas de réponse.,omc_pa720310,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720310.jpg,La République en Marche,,,LREM,,Moselle,6.0,SIGNATAIRE,,Pour,Présent,Pour,Absent,,,Pas de réponse
M.,Christophe Blanchet,Pas de réponse.,omc_pa719024,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719024.jpg,La République en Marche,,,LREM,,Calvados,4.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Christophe Di Pompeo,Pas de réponse.,omc_pa720438,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720438.jpg,La République en Marche,,,LREM,,Nord,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Christophe Euzet,Pas de réponse.,omc_pa719616,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719616.jpg,La République en Marche,,,LREM,,Hérault,7.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Christophe Jerretie,Pas de réponse.,omc_pa719060,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719060.jpg,La République en Marche,,,LREM,,Corrèze,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Christophe Lejeune,Pas de réponse.,omc_pa722320,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722320.jpg,La République en Marche,,,LREM,,Haute-Saône,2.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Christophe Naegelen,Pas de réponse.,omc_pa721486,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721486.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Vosges,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Claire Guion-Firmin,Pas de réponse.,omc_pa721126,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721126.jpg,Les Républicains,,,LR,Apparentée au,Saint-Barthélemy et Saint-Martin,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Claire Pitollat,Pas de réponse.,omc_pa718910,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718910.jpg,La République en Marche,,,LREM,,Bouches-du-Rhône,2.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Claude de Ganay,Pas de réponse.,omc_pa267735,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267735.jpg,Les Républicains,,,LR,,Loiret,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Claude Goasguen,Pas de réponse.,omc_pa1498,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1498.jpg,Les Républicains,,,LR,,Paris,14.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Constance Le Grip,Pas de réponse.,omc_pa345722,http://www2.assemblee-nationale.fr/static/tribun/15/photos/345722.jpg,Les Républicains,,,LR,,Hauts-de-Seine,6.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Coralie Dubost,Pas de réponse.,omc_pa719684,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719684.jpg,La République en Marche,,,LREM,,Hérault,3.0,,,Absent,Absent,,Contre,PRESENT,CONTRE,Pas de réponse
Mme,Corinne Vignon,Pas de réponse.,omc_pa719512,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719512.jpg,La République en Marche,,,LREM,,Haute-Garonne,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Damien Adam,Pas de réponse.,omc_pa722038,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722038.jpg,La République en Marche,,,LREM,,Seine-Maritime,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Damien Pichereau,Pas de réponse.,omc_pa721372,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721372.jpg,La République en Marche,,,LREM,,Sarthe,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Danièle Cazarian,Pas de réponse.,omc_pa721352,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721352.jpg,La République en Marche,,,LREM,,Rhône,13.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Danielle Brulebois,Pas de réponse.,omc_pa719890,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719890.jpg,La République en Marche,,,LREM,,Jura,1.0,SIGNATAIRE,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Delphine Bagarry,Pas de réponse.,omc_pa718744,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718744.jpg,La République en Marche,,,LREM,,Alpes-de-Haute-Provence,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Delphine O,Pas de réponse.,omc_pa721956,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721956.jpg,La République en Marche,,,LREM,,Paris,16.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Denis Masséglia,Pas de réponse.,omc_pa720146,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720146.jpg,La République en Marche,,,LREM,,Maine-et-Loire,5.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Denis Sommer,Pas de réponse.,omc_pa719420,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719420.jpg,La République en Marche,,,LREM,,Doubs,3.0,SIGNATAIRE,SIGNATAIRE,Absent,Absent,,Absent,,,Pas de réponse
M.,Didier Baichère,Pas de réponse.,omc_pa721776,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721776.jpg,La République en Marche,,,LREM,,Yvelines,1.0,SIGNATAIRE,,Absent,Absent,,Contre,PRESENT,CONTRE,Pas de réponse
M.,Didier Le Gac,Pas de réponse.,omc_pa719404,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719404.jpg,La République en Marche,,,LREM,,Finistère,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Didier Quentin,Pas de réponse.,omc_pa2492,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2492.jpg,Les Républicains,,,LR,,Charente-Maritime,5.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Dimitri Houbron,Pas de réponse.,omc_pa720454,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720454.jpg,La République en Marche,,,LREM,,Nord,17.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Dino Cinieri,Pas de réponse.,omc_pa267429,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267429.jpg,Les Républicains,,,LR,,Loire,4.0,,,Contre,Présent,Contre,Absent,,,Pas de réponse
Mme,Dominique David,Pas de réponse.,omc_pa719710,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719710.jpg,La République en Marche,,,LREM,,Gironde,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Émilie Cariou,Pas de réponse.,omc_pa720298,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720298.jpg,La République en Marche,,,LREM,,Meuse,2.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Émilie Chalas,Pas de réponse.,omc_pa719748,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719748.jpg,La République en Marche,,,LREM,,Isère,3.0,SIGNATAIRE,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Émilie Guerel,Pas de réponse.,omc_pa721792,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721792.jpg,La République en Marche,,,LREM,,Var,7.0,,SIGNATAIRE,Absent,Absent,,Absent,,,Pas de réponse
M.,Emmanuel Maquet,Pas de réponse.,omc_pa346054,http://www2.assemblee-nationale.fr/static/tribun/15/photos/346054.jpg,Les Républicains,,,LR,,Somme,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Emmanuelle Anthoine,Pas de réponse.,omc_pa719318,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719318.jpg,Les Républicains,,,LR,,Drôme,4.0,,,Contre,Présent,Contre,Absent,,,Pas de réponse
M.,Éric Ciotti,Pas de réponse.,omc_pa330240,http://www2.assemblee-nationale.fr/static/tribun/15/photos/330240.jpg,Les Républicains,,,LR,,Alpes-Maritimes,1.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Éric Pauget,Pas de réponse.,omc_pa718784,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718784.jpg,Les Républicains,,,LR,,Alpes-Maritimes,7.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Éric Woerth,Pas de réponse.,omc_pa2960,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2960.jpg,Les Républicains,,,LR,,Oise,4.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Fabien Di Filippo,Pas de réponse.,omc_pa720386,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720386.jpg,Les Républicains,,,LR,,Moselle,4.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Fabien Matras,Pas de réponse.,omc_pa721800,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721800.jpg,La République en Marche,,,LREM,,Var,8.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Fabienne Colboc,Pas de réponse.,omc_pa719814,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719814.jpg,La République en Marche,,,LREM,,Indre-et-Loire,4.0,,,Absent,Absent,,Contre,PRESENT,CONTRE,Pas de réponse
M.,Fabrice Brun,Pas de réponse.,omc_pa718838,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718838.jpg,Les Républicains,,,LR,,Ardèche,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Fabrice Le Vigoureux,Pas de réponse.,omc_pa719006,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719006.jpg,La République en Marche,,,LREM,,Calvados,1.0,SIGNATAIRE,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Fannette Charvier,Pas de réponse.,omc_pa719170,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719170.jpg,La République en Marche,,,LREM,,Doubs,1.0,SIGNATAIRE,SIGNATAIRE,Pour,Présent,Pour,Absent,,,Pas de réponse
Mme,Fiona Lazaar,Pas de réponse.,omc_pa720916,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720916.jpg,La République en Marche,,,LREM,,Val-d'Oise,5.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Florence Lasserre-David,Pas de réponse.,omc_pa720764,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720764.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Pyrénées-Atlantiques,5.0,,,Absent,Absent,,Absent,,,Pas de réponse
