title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier+AF8-scrutin+AF8-presence,premier+AF8-scrutin+AF8-vote,septembre,deuxieme+AF8-scrutin+AF8-presence,deuxieme+AF8-scrutin+AF8-vote,envoye+AF8-special
M.,Alexis Corbi+AOg-re,+ACI-+ACIAIg-Le pr+AOk-sident de l'Assembl+AOk-e, +AOA- l'+AOk-poque M. De Rugy, s'est arrang+AOk- pour que les s+AOk-ances s'+AOk-talent du lundi au dimanche, de 9h30 +AOA- 1 heure du matin. Du quasi non+AC0-stop, donc. Le groupe parlementaire de La France insoumise +AOk-tant r+AOk-duit, nos d+AOk-put+AOk-s ne peuvent se relayer aussi efficacement, par exemple, que les d+AOk-put+AOk-s LREM. Apr+AOg-s avoir si+AOk-g+AOk- de mani+AOg-re quasi ininterrompue la semaine pr+AOk-c+AOk-dent le vote, la majorit+AOk- des d+AOk-put+AOk-s insoumis avaient quitt+AOk- la s+AOk-ance pour rentrer se reposer avant la reprise des d+AOk-bats, pr+AOk-vue le lendemain +AOA- 9h30. Mais, contrairement +AOA- ce qui +AOk-tait pr+AOk-vu, cette s+AOk-ance ne s'est pas termin+AOk-e +AOA- 1 heure, mais a +AOk-t+AOk- prolong+AOk-e jusqu'+AOA- 2 heures du matin, suite +AOA- une d+AOk-cision unilat+AOk-rale prise par le pr+AOk-sident de l'Assembl+AOk-e, dans le seul et unique but d'avancer le vote sur le glyphosate dans la nuit, et non lors de la reprise de s+AOk-ance. Tout avait +AOk-t+AOk- sciemment mis en +AVM-uvre pour qu'un minimum de parlementaires de l'opposition (et pour la plupart favorables +AOA- l'interdiction du glyphosate) soient pr+AOk-sents lors de ce vote si important. Il va sans dire que ce sont des conditions selon moi d+AOk-plorables, pour ce qui est cens+AOk- +AOo-tre un d+AOk-bat parlementaire et r+AOk-publicain.+ACIAIg-+ACI-,omc+AF8-pa721210,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/721210.jpg,La France insoumise,,,LFI,,Seine+AC0-Saint+AC0-Denis,7e,,,Absent(e),Absent(e),,Pour,PRESENT,POUR,Pour
Mme,Alice Thourot,+ACI-+ACIAIg-Je n'+AOk-tais pas pr+AOk-sente dans l'H+AOk-micycle lors du vote, j'avais effectivement d'autres obligations (j'ai notamment beaucoup travaill+AOk- durant cette p+AOk-riode sur le continuum de s+AOk-curit+AOk-, mission confi+AOk-e par le Premier Ministre).+ACIAIg-+ACI-,omc+AF8-pa719302,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/719302.jpg,La R+AOk-publique en marche,,,LREM,,Dr+APQ-me,2e,,,Absent(e),Absent(e),,Absent(e),,,Contre
Mme,Am+AOk-lia Lakrafi,Pas de r+AOk-ponse.,omc+AF8-pa721004,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/721004.jpg,La R+AOk-publique en marche,,,LREM,,Fran+AOc-ais +AOk-tablis hors de France,10e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Am+AOk-lie de Montchalin,Pas de r+AOk-ponse.,omc+AF8-pa721670,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/721670.jpg,La R+AOk-publique en marche,,,LREM,,Essonne,6e,,,Absent(e),Absent(e),,Contre,PRESENT,CONTRE,Pas de r+AOk-ponse
M.,Andr+AOk- Chassaigne,+ACI-+ACIAIg-J'+AOk-tais en effet retenu ce lundi soir comme conseiller municipal de ma petite commune de Saint+AC0-Amant+AC0-Roche+AC0-Savine. D'autant plus que c'+AOk-tait la premi+AOg-re r+AOk-union pr+AOk-sid+AOk-e par le maire qui venait d'+AOo-tre +AOk-lu (+AOA- la suite de la d+AOk-mission du maire qui m'avait succ+AOk-d+AOk- en 2010). Mon absence aurait +AOk-t+AOk- localement mal v+AOk-cue.+ACIAIg-+ACI-,omc+AF8-pa267306,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/267306.jpg,Gauche d+AOk-mocrate et r+AOk-publicaine,,Pr+AOk-sident,PCF,,Puy+AC0-de+AC0-D+APQ-me,5e,,,Absent(e),Absent(e),,Pour,PRESENT,POUR,Pour
M.,Andr+AOk- Villiers,+ACI-+ACIAIg-Je vous confirme que le d+AOk-put+AOk- +AOk-tait en circonscription pour les dates sus+AC0-cit+AOk-es. La premi+AOg-re +AOA- des obs+AOg-ques. La deuxi+AOg-me pour un rendez+AC0-vous avec un pr+AOk-fet en circonscription+ACIAIg-, justifie l'entourage du d+AOk-put+AOk-.+ACI-,omc+AF8-pa421348,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/421348.jpg,+ACI-UDI, Agir et Ind+AOk-pendants+ACI-,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Yonne,2e,,,Absent(e),Absent(e),,Absent(e),,,Pour
Mme,Anissa Khedher,Pas de r+AOk-ponse.,omc+AF8-pa722300,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/722300.jpg,La R+AOk-publique en marche,,,LREM,,Rh+APQ-ne,7e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Anna+AO8-g Le Meur,Pas de r+AOk-ponse.,omc+AF8-pa719388,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/719388.jpg,La R+AOk-publique en marche,,,LREM,,Finist+AOg-re,1+AOg-re,SIGNATAIRE,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Anne Blanc,Pas de r+AOk-ponse.,omc+AF8-pa718990,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/718990.jpg,La R+AOk-publique en marche,,,LREM,,Aveyron,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Anne Brugnera,Pas de r+AOk-ponse.,omc+AF8-pa721328,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/721328.jpg,La R+AOk-publique en marche,,,LREM,,Rh+APQ-ne,4e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
