title,deputes,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,premier_scrutin_presence,premier_scrutin_vote,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
M.,Jean-Jacques Gaultier,omc_pa267324,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267324.jpg,Les Républicains,,,LR,,Vosges,4,,,,,,,
M.,Michel Zumkeller,omc_pa267330,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267330.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Territoire de Belfort,2,,,,,,,POUR
M.,Joël Giraud,omc_pa267336,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267336.jpg,La République en Marche,,,LREM,,Hautes-Alpes,2,SIGNATAIRE,,,,,,POUR
M.,Antoine Herth,omc_pa267355,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267355.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Bas-Rhin,5,,,Présent,Contre,,,
Mme,Geneviève Levy,omc_pa267378,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267378.jpg,Les Républicains,,,LR,,Var,1,,,,,,,
M.,Dino Cinieri,omc_pa267429,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267429.jpg,Les Républicains,,,LR,,Loire,4,,,Présent,Contre,,,
M.,Éric Diard,omc_pa267440,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267440.jpg,Les Républicains,,,LR,,Bouches-du-Rhône,12,,,,,PRESENT,POUR,POUR
M.,Rémi Delatte,omc_pa267450,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267450.jpg,Les Républicains,,,LR,,Côte-d'Or,2,,,,,,,
M.,Martial Saddier,omc_pa267527,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267527.jpg,Les Républicains,,,LR,,Haute-Savoie,3,,,,,,,POUR
M.,Francis Vercamer,omc_pa267585,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267585.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Nord,7,,,,,,,
M.,Philippe Folliot,omc_pa267673,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267673.jpg,La République en Marche,,,LREM,,Tarn,1,,,,,,,CONTRE
M.,Claude de Ganay,omc_pa267735,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267735.jpg,Les Républicains,,,LR,,Loiret,3,,,,,,,
M.,Guy Bricout,omc_pa267766,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267766.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Nord,18,,,,,,,POUR
Mme,Agnès Firmin Le Bodo,omc_pa267780,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267780.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Seine-Maritime,7,,,,,,,CONTRE
M.,Guillaume Larrivé,omc_pa267785,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267785.jpg,Les Républicains,,,LR,,Yonne,1,,,,,,,
Mme,Michèle Tabarot,omc_pa267794,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267794.jpg,Les Républicains,,,LR,,Alpes-Maritimes,9,,,,,,,
M.,Mansour Kamardine,omc_pa267901,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267901.jpg,Les Républicains,,,LR,,Mayotte,2,,,,,,,
M.,Jean-Christophe Lagarde,omc_pa268019,http://www2.assemblee-nationale.fr/static/tribun/15/photos/268019.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Seine-Saint-Denis,5,,,,,,,CONTRE
M.,Jean-Charles Taugourdeau,omc_pa2792,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2792.jpg,Les Républicains,,,LR,,Maine-et-Loire,3,,,,,,,
M.,Guy Teissier,omc_pa2796,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2796.jpg,Les Républicains,,,LR,,Bouches-du-Rhône,6,,,,,,,CONTRE
M.,Alain Tourret,omc_pa2828,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2828.jpg,La République en Marche,,,LREM,,Calvados,6,,,,,,,
M.,Jean-Luc Warsmann,omc_pa2952,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2952.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Ardennes,3,,,,,,,
M.,Éric Woerth,omc_pa2960,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2960.jpg,Les Républicains,,,LR,,Oise,4,,,,,,,
M.,Xavier Breton,omc_pa330008,http://www2.assemblee-nationale.fr/static/tribun/15/photos/330008.jpg,Les Républicains,,,LR,,Ain,1,,,,,,,N'a pas voté volontairement
M.,Éric Ciotti,omc_pa330240,http://www2.assemblee-nationale.fr/static/tribun/15/photos/330240.jpg,Les Républicains,,,LR,,Alpes-Maritimes,1,,,,,,,
Mme,Valérie Boyer,omc_pa330684,http://www2.assemblee-nationale.fr/static/tribun/15/photos/330684.jpg,Les Républicains,,,LR,,Bouches-du-Rhône,1,,,,,,,
M.,Bernard Reynès,omc_pa330788,http://www2.assemblee-nationale.fr/static/tribun/15/photos/330788.jpg,Les Républicains,,,LR,,Bouches-du-Rhône,15,,,,,,,
M.,Vincent Descoeur,omc_pa330909,http://www2.assemblee-nationale.fr/static/tribun/15/photos/330909.jpg,Les Républicains,,,LR,,Cantal,1,,,Présent,Contre,,,CONTRE
Mme,Laure de La Raudière,omc_pa331567,http://www2.assemblee-nationale.fr/static/tribun/15/photos/331567.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Eure-et-Loir,3,,,Présent,Contre,,,CONTRE
M.,Philippe Vigier,omc_pa331582,http://www2.assemblee-nationale.fr/static/tribun/15/photos/331582.jpg,Libertés et Territoires,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Eure-et-Loir,4,,,Présent,Contre,,,CONTRE
Mme,Monique Iborra,omc_pa331835,http://www2.assemblee-nationale.fr/static/tribun/15/photos/331835.jpg,La République en Marche,,,LREM,,Haute-Garonne,6,,,,,,,CONTRE
M.,Thierry Benoit,omc_pa332228,http://www2.assemblee-nationale.fr/static/tribun/15/photos/332228.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Ille-et-Vilaine,6,,,Présent,Contre,PRESENT,CONTRE,
Mme,Marie-Christine Dalloz,omc_pa332523,http://www2.assemblee-nationale.fr/static/tribun/15/photos/332523.jpg,Les Républicains,,,LR,,Jura,2,,,,,,,
M.,Régis Juanico,omc_pa332614,http://www2.assemblee-nationale.fr/static/tribun/15/photos/332614.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Loire,1,,,,,PRESENT,POUR,POUR
M.,Guillaume Garot,omc_pa333285,http://www2.assemblee-nationale.fr/static/tribun/15/photos/333285.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Mayenne,1,,,Présent,Pour,PRESENT,POUR,POUR
M.,Bertrand Pancher,omc_pa333421,http://www2.assemblee-nationale.fr/static/tribun/15/photos/333421.jpg,Libertés et Territoires,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Meuse,1,,,,,,,CONTRE
M.,Christian Hutin,omc_pa333818,http://www2.assemblee-nationale.fr/static/tribun/15/photos/333818.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,Apparenté au,Nord,13,,,,,,,
Mme,Jacqueline Maquet,omc_pa334116,http://www2.assemblee-nationale.fr/static/tribun/15/photos/334116.jpg,La République en Marche,,,LREM,,Pas-de-Calais,2,,,,,,,
M.,Daniel Fasquelle,omc_pa334149,http://www2.assemblee-nationale.fr/static/tribun/15/photos/334149.jpg,Les Républicains,,,LR,,Pas-de-Calais,4,,,Présent,Contre,,,CONTRE
M.,Éric Straumann,omc_pa334654,http://www2.assemblee-nationale.fr/static/tribun/15/photos/334654.jpg,Les Républicains,,,LR,,Haut-Rhin,1,,,,,,,CONTRE
M.,Jean-Louis Touraine,omc_pa334768,http://www2.assemblee-nationale.fr/static/tribun/15/photos/334768.jpg,La République en Marche,,,LREM,,Rhône,3,SIGNATAIRE,,,,,,
M.,Patrice Verchère,omc_pa334843,http://www2.assemblee-nationale.fr/static/tribun/15/photos/334843.jpg,Les Républicains,,,LR,,Rhône,8,,,,,,,
Mme,Marietta Karamanli,omc_pa335054,http://www2.assemblee-nationale.fr/static/tribun/15/photos/335054.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Sarthe,2,,,,,,,POUR
Mme,George Pau-Langevin,omc_pa335532,http://www2.assemblee-nationale.fr/static/tribun/15/photos/335532.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Paris,15,,,,,,,POUR
M.,Jean-Paul Lecoq,omc_pa335612,http://www2.assemblee-nationale.fr/static/tribun/15/photos/335612.jpg,Gauche démocrate et républicaine,,,PCF,,Seine-Maritime,8,,,,,PRESENT,POUR,POUR
Mme,Delphine Batho,omc_pa335999,http://www2.assemblee-nationale.fr/static/tribun/15/photos/335999.jpg,Non inscrit,,,NI,PS,Deux-Sèvres,2,,,Présent,Pour,PRESENT,POUR,POUR
Mme,Sylvia Pinel,omc_pa336175,http://www2.assemblee-nationale.fr/static/tribun/15/photos/336175.jpg,Libertés et Territoires,,,NI,PRG,Tarn-et-Garonne,2,,,,,,,
M.,Jean-Claude Bouchet,omc_pa336316,http://www2.assemblee-nationale.fr/static/tribun/15/photos/336316.jpg,Les Républicains,,,LR,,Vaucluse,2,,,Présent,Contre,,,
M.,Jean-Michel Clément,omc_pa336439,http://www2.assemblee-nationale.fr/static/tribun/15/photos/336439.jpg,Libertés et Territoires,,,NI,En marche!,Vienne,3,,,,,,,POUR
M.,Serge Letchimy,omc_pa337483,http://www2.assemblee-nationale.fr/static/tribun/15/photos/337483.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,Apparenté au,Martinique,3,,,,,,,
M.,Hervé Saulignac,omc_pa340343,http://www2.assemblee-nationale.fr/static/tribun/15/photos/340343.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Ardèche,1,,,,,,,POUR
Mme,Michèle Victory,omc_pa340357,http://www2.assemblee-nationale.fr/static/tribun/15/photos/340357.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Ardèche,2,,,,,,,POUR
M.,Sébastien Leclerc,omc_pa340853,http://www2.assemblee-nationale.fr/static/tribun/15/photos/340853.jpg,Les Républicains,,,LR,,Calvados,3,,,Présent,Contre,,,CONTRE
Mme,Marie-Noëlle Battistel,omc_pa342415,http://www2.assemblee-nationale.fr/static/tribun/15/photos/342415.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Isère,4,,,,,PRESENT,POUR,
Mme,Marianne Dubois,omc_pa342935,http://www2.assemblee-nationale.fr/static/tribun/15/photos/342935.jpg,Les Républicains,,,LR,,Loiret,5,,,,,,,
M.,Gwendal Rouillard,omc_pa343493,http://www2.assemblee-nationale.fr/static/tribun/15/photos/343493.jpg,La République en Marche,,,LREM,,Morbihan,5,,,,,,,CONTRE
Mme,Constance Le Grip,omc_pa345722,http://www2.assemblee-nationale.fr/static/tribun/15/photos/345722.jpg,Les Républicains,,,LR,,Hauts-de-Seine,6,,,,,,,
M.,Emmanuel Maquet,omc_pa346054,http://www2.assemblee-nationale.fr/static/tribun/15/photos/346054.jpg,Les Républicains,,,LR,,Somme,3,,,,,,,
M.,Jean-Louis Masson,omc_pa346218,http://www2.assemblee-nationale.fr/static/tribun/15/photos/346218.jpg,Les Républicains,,,LR,,Var,3,,,,,,,
M.,Thierry Solère,omc_pa346876,http://www2.assemblee-nationale.fr/static/tribun/15/photos/346876.jpg,La République en Marche,,,LREM,,Hauts-de-Seine,9,,,,,,,
M.,François Pupponi,omc_pa405480,http://www2.assemblee-nationale.fr/static/tribun/15/photos/405480.jpg,Libertés et Territoires,,,NOUVELLE GAUCHE,,Val-d'Oise,8,,,,,,,
M.,André Villiers,omc_pa421348,http://www2.assemblee-nationale.fr/static/tribun/15/photos/421348.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Yonne,2,,,,,,,POUR
M.,Luc Carvounas,omc_pa429893,http://www2.assemblee-nationale.fr/static/tribun/15/photos/429893.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Val-de-Marne,9,,,,,PRESENT,POUR,POUR
Mme,Huguette Bello,omc_pa441,http://www2.assemblee-nationale.fr/static/tribun/15/photos/441.jpg,Gauche démocrate et républicaine,,,PCF,,Réunion,2,,,,,,,
Mme,Gisèle Biémouret,omc_pa508,http://www2.assemblee-nationale.fr/static/tribun/15/photos/508.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Gers,2,,,,,,,POUR
Mme,Clémentine Autain,omc_pa588884,http://www2.assemblee-nationale.fr/static/tribun/15/photos/588884.jpg,La France insoumise,,,LFI,,Seine-Saint-Denis,11,,,,,,,POUR
M.,Damien Abad,omc_pa605036,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605036.jpg,Les Républicains,,,LR,,Ain,5,,,,,,,ABSTENTION
M.,Jean-Louis Bricout,omc_pa605069,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605069.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Aisne,3,,,,,,,POUR
M.,Jacques Krabal,omc_pa605084,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605084.jpg,La République en Marche,,,LREM,,Aisne,5,,,,,,,NE REPOND PAS
M.,François-Michel Lambert,omc_pa605518,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605518.jpg,Libertés et Territoires,,,LREM,,Bouches-du-Rhône,10,,SIGNATAIRE,,,PRESENT,POUR,POUR
M.,Olivier Falorni,omc_pa605694,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605694.jpg,Libertés et Territoires,,,NI,PRG,Charente-Maritime,1,,,,,,,
M.,Éric Alauzet,omc_pa605963,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605963.jpg,La République en Marche,,,LREM,,Doubs,2,,SIGNATAIRE,,,PRESENT,POUR,POUR
Mme,Annie Genevard,omc_pa605991,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605991.jpg,Les Républicains,,,LR,,Doubs,5,,,,,,,
M.,Olivier Marleix,omc_pa606098,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606098.jpg,Les Républicains,,,LR,,Eure-et-Loir,2,,,,,,,
M.,Richard Ferrand,omc_pa606171,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606171.jpg,La République en Marche,,Président,LREM,,Finistère,6,,,Présent,Contre,,NON-VOTANT,
Mme,Françoise Dumas,omc_pa606202,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606202.jpg,La République en Marche,,,LREM,,Gard,1,,,,,,,
M.,Gilbert Collard,omc_pa606212,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606212.jpg,Non inscrit,,,NI (RN),,Gard,2,,,,,,,
M.,Florent Boudié,omc_pa606507,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606507.jpg,La République en Marche,,,LREM,,Gironde,10,,,,,,,POUR
M.,Patrick Vignal,omc_pa606639,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606639.jpg,La République en Marche,,,LREM,,Hérault,9,,SIGNATAIRE,,,,,
M.,François André,omc_pa606675,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606675.jpg,La République en Marche,,,LREM,Apparenté au,Ille-et-Vilaine,3,,,,,,,
M.,Gilles Lurton,omc_pa606712,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606712.jpg,Les Républicains,,,LR,,Ille-et-Vilaine,7,,,Présent,Contre,PRESENT,CONTRE,
M.,Jean-Pierre Vigier,omc_pa607090,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607090.jpg,Les Républicains,,,LR,,Haute-Loire,2,,,,,,,CONTRE
M.,Yves Daniel,omc_pa607155,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607155.jpg,La République en Marche,,,LREM,,Loire-Atlantique,6,,,,,,,POUR
Mme,Sophie Errante,omc_pa607193,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607193.jpg,La République en Marche,,,LREM,,Loire-Atlantique,10,,,,,,,
M.,Stéphane Travert,omc_pa607395,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607395.jpg,La République en Marche,Grégory Galbadon,,LREM,,Manche,3,,,,,,,
M.,Dominique Potier,omc_pa607553,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607553.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Meurthe-et-Moselle,5,,,,,,,CONTRE
M.,Hervé Pellois,omc_pa607595,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607595.jpg,La République en Marche,,,LREM,,Morbihan,1,,,,,,,
M.,Paul Molac,omc_pa607619,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607619.jpg,Libertés et Territoires,,,LREM,,Morbihan,4,,SIGNATAIRE,,,PRESENT,POUR,POUR
M.,Joaquim Pueyo,omc_pa608011,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608011.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Orne,1,,,,,,,POUR
Mme,Véronique Louwagie,omc_pa608016,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608016.jpg,Les Républicains,,,LR,,Orne,2,,,Présent,Contre,,,
Mme,Brigitte Bourguignon,omc_pa608083,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608083.jpg,La République en Marche,,,LREM,,Pas-de-Calais,6,,,,,,,
Mme,Christine Pires Beaune,omc_pa608172,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608172.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Puy-de-Dôme,2,,,,,,,POUR
Mme,Jeanine Dubié,omc_pa608292,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608292.jpg,Libertés et Territoires,,,NI,PRG,Hautes-Pyrénées,2,,,,,,,
M.,Patrick Hetzel,omc_pa608416,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608416.jpg,Les Républicains,,,LR,,Bas-Rhin,7,,,,,,,
M.,Yves Blein,omc_pa608641,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608641.jpg,La République en Marche,,,LREM,,Rhône,14,,,,,,,CONTRE
Mme,Cécile Untermaier,omc_pa608695,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608695.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Saône-et-Loire,4,,,,,,,POUR
Mme,Sylvie Tolmont,omc_pa608741,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608741.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Sarthe,4,,,,,,,
Mme,Virginie Duby-Muller,omc_pa608826,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608826.jpg,Les Républicains,,,LR,,Haute-Savoie,4,,,,,,,
Mme,Valérie Lacroute,omc_pa609245,http://www2.assemblee-nationale.fr/static/tribun/15/photos/609245.jpg,Les Républicains,,,LR,,Seine-et-Marne,2,,,,,,,
M.,Olivier Faure,omc_pa609332,http://www2.assemblee-nationale.fr/static/tribun/15/photos/609332.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Seine-et-Marne,11,,,,,PRESENT,POUR,POUR
Mme,Barbara Pompili,omc_pa609520,http://www2.assemblee-nationale.fr/static/tribun/15/photos/609520.jpg,La République en Marche,,,LREM,,Somme,2,SIGNATAIRE,SIGNATAIRE,Présent,Pour,PRESENT,POUR,
Mme,Valérie Rabault,omc_pa609590,http://www2.assemblee-nationale.fr/static/tribun/15/photos/609590.jpg,Socialistes et apparentés,,Présidente,NOUVELLE GAUCHE,,Tarn-et-Garonne,1,,,,,PRESENT,POUR,
